Emulated Delay, N, Mean, Standard Deviation, Lower Limit, Upper Limit, Margin of Error
20, 1000, 40.791510343551636, 6.933848137205402, 40.35660181775809, 41.22641886934518, 0.4349085257935471
40, 1000, 80.69052624702454, 7.129516957248588, 80.24334487700584, 81.13770761704323, 0.4471813700186937
50, 1000, 101.06144309043884, 7.086009817142552, 100.6169905984963, 101.50589558238138, 0.4444524919425385
